,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
438,2019-03-15,3930.38658080442,2161.9505835940517,5635.275153073844,3930.38658080442,3930.38658080442,0.0,0.0,0.0,0.0,0.0,0.0,3930.38658080442
439,2019-03-16,3931.448863424575,2197.9032102469146,5608.541233735264,3931.448863424575,3931.448863424575,0.0,0.0,0.0,0.0,0.0,0.0,3931.448863424575
440,2019-03-17,3932.51114604473,2204.447221481713,5658.097092034169,3932.51114604473,3932.51114604473,0.0,0.0,0.0,0.0,0.0,0.0,3932.51114604473
441,2019-03-18,3933.573428664885,2175.7007091792393,5766.438658828791,3933.573428664885,3933.573428664885,0.0,0.0,0.0,0.0,0.0,0.0,3933.573428664885
442,2019-03-19,3934.6357112850396,2192.8852522195234,5556.374712609187,3934.6357112850396,3934.6357112850396,0.0,0.0,0.0,0.0,0.0,0.0,3934.6357112850396
443,2019-03-20,3935.6979939051944,2115.1292736361893,5634.988260056527,3935.6979939051944,3935.6979939051944,0.0,0.0,0.0,0.0,0.0,0.0,3935.6979939051944
444,2019-03-21,3936.760276525349,2195.9009869074685,5678.527773109409,3936.760276525349,3936.760276525349,0.0,0.0,0.0,0.0,0.0,0.0,3936.760276525349
445,2019-03-22,3937.822559145504,2220.191031272838,5591.406172632153,3937.822559145504,3937.822559145504,0.0,0.0,0.0,0.0,0.0,0.0,3937.822559145504
446,2019-03-23,3938.884841765659,2235.032085577142,5784.46823744811,3938.884841765659,3938.884841765659,0.0,0.0,0.0,0.0,0.0,0.0,3938.884841765659
447,2019-03-24,3939.947124385814,2221.4074110201095,5722.4429258991,3939.947124385814,3939.947124385814,0.0,0.0,0.0,0.0,0.0,0.0,3939.947124385814
448,2019-03-25,3941.0094070059686,2212.830441721527,5639.288518155232,3941.0094070059686,3941.0094070059686,0.0,0.0,0.0,0.0,0.0,0.0,3941.0094070059686
449,2019-03-26,3942.071689626123,2209.560981206648,5692.931390956961,3942.071689626123,3942.071689626123,0.0,0.0,0.0,0.0,0.0,0.0,3942.071689626123
450,2019-03-27,3943.1339770433124,2021.6539888333366,5540.968151641119,3943.1339770433124,3943.1339770433124,0.0,0.0,0.0,0.0,0.0,0.0,3943.1339770433124
451,2019-03-28,3944.196264460502,2072.3220514312407,5674.697833297875,3944.196264460502,3944.196264460502,0.0,0.0,0.0,0.0,0.0,0.0,3944.196264460502
452,2019-03-29,3945.258551877691,2218.5398105065674,5708.476903226651,3945.258551877691,3945.258551877691,0.0,0.0,0.0,0.0,0.0,0.0,3945.258551877691
453,2019-03-30,3946.3208392948804,2174.2225391103166,5714.555261281718,3946.3208392948804,3946.3208392948804,0.0,0.0,0.0,0.0,0.0,0.0,3946.3208392948804
454,2019-03-31,3947.38312671207,2360.043937032243,5628.421365978034,3947.38312671207,3947.38312671207,0.0,0.0,0.0,0.0,0.0,0.0,3947.38312671207
455,2019-04-01,3948.445414129259,2189.0003964588113,5749.121497150232,3948.445414129259,3948.445414129259,0.0,0.0,0.0,0.0,0.0,0.0,3948.445414129259
456,2019-04-02,3949.5077015464485,2069.0775248754885,5706.643058039045,3949.5077015464485,3949.5077015464485,0.0,0.0,0.0,0.0,0.0,0.0,3949.5077015464485
457,2019-04-03,3950.569988963638,2241.322528214459,5694.604022323723,3950.569988963638,3950.569988963638,0.0,0.0,0.0,0.0,0.0,0.0,3950.569988963638
458,2019-04-04,3951.6322763808275,2148.154209282815,5626.487417954696,3951.6322763808275,3951.6322763808275,0.0,0.0,0.0,0.0,0.0,0.0,3951.6322763808275
459,2019-04-05,3952.6945637980166,2108.741630705503,5601.5246506306385,3952.6945637980166,3952.6945637980166,0.0,0.0,0.0,0.0,0.0,0.0,3952.6945637980166
460,2019-04-06,3953.756851215206,2142.7179982987636,5680.026972660637,3953.756851215206,3953.756851215206,0.0,0.0,0.0,0.0,0.0,0.0,3953.756851215206
461,2019-04-07,3954.8191386323956,2366.815449915745,5683.93447975742,3954.8191386323956,3954.8191386323956,0.0,0.0,0.0,0.0,0.0,0.0,3954.8191386323956
