,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
759,2020-01-30,4278.517787613132,2394.1689228197074,6002.058229598607,4278.517787613132,4278.517787613132,-5.408590172480979,-5.408590172480979,-5.408590172480979,-5.408590172480979,-5.408590172480979,-5.408590172480979,0.0,0.0,0.0,4273.109197440651
760,2020-01-31,4280.147528767893,2581.9597006140793,6104.242373846033,4280.147528767893,4280.147528767893,-55.65651490191904,-55.65651490191904,-55.65651490191904,-55.65651490191904,-55.65651490191904,-55.65651490191904,0.0,0.0,0.0,4224.491013865974
761,2020-02-01,4281.777269922654,2471.833942026767,5881.930331679072,4281.777269922654,4281.777269922654,-31.808208234895282,-31.808208234895282,-31.808208234895282,-31.808208234895282,-31.808208234895282,-31.808208234895282,0.0,0.0,0.0,4249.969061687759
762,2020-02-02,4283.407011077415,2484.0791258817676,5926.444017436152,4283.407011077415,4283.407011077415,15.0647079560758,15.0647079560758,15.0647079560758,15.0647079560758,15.0647079560758,15.0647079560758,0.0,0.0,0.0,4298.47171903349
763,2020-02-03,4285.036752232177,2637.005217639169,6123.4111794743085,4285.036752232177,4285.036752232177,38.519307973996014,38.519307973996014,38.519307973996014,38.519307973996014,38.519307973996014,38.519307973996014,0.0,0.0,0.0,4323.556060206172
764,2020-02-04,4286.666493386937,2560.468501278293,6101.701426697581,4286.666493386937,4286.666493386937,24.401553932234105,24.401553932234105,24.401553932234105,24.401553932234105,24.401553932234105,24.401553932234105,0.0,0.0,0.0,4311.0680473191715
765,2020-02-05,4288.296234541698,2544.0399710366487,5971.620432722145,4288.296234541698,4288.296234541698,14.887743446924958,14.887743446924958,14.887743446924958,14.887743446924958,14.887743446924958,14.887743446924958,0.0,0.0,0.0,4303.183977988623
766,2020-02-06,4289.925975696459,2684.506376879573,6037.25012025919,4289.925975696459,4289.925975696459,-5.408590172310149,-5.408590172310149,-5.408590172310149,-5.408590172310149,-5.408590172310149,-5.408590172310149,0.0,0.0,0.0,4284.517385524149
767,2020-02-07,4291.5557168512205,2553.186856738095,5956.536335633574,4291.5557168512205,4291.5557168512205,-55.65651490193217,-55.65651490193217,-55.65651490193217,-55.65651490193217,-55.65651490193217,-55.65651490193217,0.0,0.0,0.0,4235.899201949288
768,2020-02-08,4293.185458005981,2509.2695635811783,5995.465299468882,4293.185458005981,4293.185458005981,-31.808208234874293,-31.808208234874293,-31.808208234874293,-31.808208234874293,-31.808208234874293,-31.808208234874293,0.0,0.0,0.0,4261.377249771106
769,2020-02-09,4294.815199160742,2536.7826401288407,6068.7341522391325,4294.815199160742,4294.815199160742,15.064707956115168,15.064707956115168,15.064707956115168,15.064707956115168,15.064707956115168,15.064707956115168,0.0,0.0,0.0,4309.879907116857
770,2020-02-10,4296.444940315504,2578.264741049177,6047.82536807713,4296.444940315504,4296.444940315504,38.519307974017615,38.519307974017615,38.519307974017615,38.519307974017615,38.519307974017615,38.519307974017615,0.0,0.0,0.0,4334.9642482895215
771,2020-02-11,4298.074681470264,2543.5649189828387,6060.561917410696,4298.074681470264,4298.074681470264,24.40155393227625,24.40155393227625,24.40155393227625,24.40155393227625,24.40155393227625,24.40155393227625,0.0,0.0,0.0,4322.476235402541
772,2020-02-12,4299.704422625025,2578.040571579756,5948.498793299276,4299.704422625025,4299.704422625025,14.887743446941757,14.887743446941757,14.887743446941757,14.887743446941757,14.887743446941757,14.887743446941757,0.0,0.0,0.0,4314.592166071966
773,2020-02-13,4301.334163779787,2592.5037180815507,5999.7207150361255,4301.334163779787,4301.334163779787,-5.408590172357952,-5.408590172357952,-5.408590172357952,-5.408590172357952,-5.408590172357952,-5.408590172357952,0.0,0.0,0.0,4295.925573607428
774,2020-02-14,4302.963904934548,2452.31999849893,5958.213198277788,4302.963904934548,4302.963904934548,-55.65651490194982,-55.65651490194982,-55.65651490194982,-55.65651490194982,-55.65651490194982,-55.65651490194982,0.0,0.0,0.0,4247.307390032598
775,2020-02-15,4304.593646089308,2556.737379049633,6191.213962913966,4304.593646089308,4304.593646089308,-31.808208234829955,-31.808208234829955,-31.808208234829955,-31.808208234829955,-31.808208234829955,-31.808208234829955,0.0,0.0,0.0,4272.785437854478
776,2020-02-16,4306.22338724407,2502.063049076654,6183.624295625705,4306.22338724407,4306.22338724407,15.06470795612898,15.06470795612898,15.06470795612898,15.06470795612898,15.06470795612898,15.06470795612898,0.0,0.0,0.0,4321.288095200199
777,2020-02-17,4307.85312839883,2486.3532988982397,6040.022727108615,4307.85312839883,4307.85312839883,38.51930797397046,38.51930797397046,38.51930797397046,38.51930797397046,38.51930797397046,38.51930797397046,0.0,0.0,0.0,4346.372436372801
778,2020-02-18,4309.482869553592,2526.447660692319,6118.925820838828,4309.482869553592,4309.482869553592,24.401553932240645,24.401553932240645,24.401553932240645,24.401553932240645,24.401553932240645,24.401553932240645,0.0,0.0,0.0,4333.8844234858325
779,2020-02-19,4311.112610708353,2583.2119232628584,6081.430989241502,4311.112610708353,4311.112610708353,14.887743446896204,14.887743446896204,14.887743446896204,14.887743446896204,14.887743446896204,14.887743446896204,0.0,0.0,0.0,4326.000354155249
780,2020-02-20,4312.742351863114,2701.0668882519813,6018.21200978374,4312.742351863114,4312.742351863114,-5.4085901723859475,-5.4085901723859475,-5.4085901723859475,-5.4085901723859475,-5.4085901723859475,-5.4085901723859475,0.0,0.0,0.0,4307.333761690728
781,2020-02-21,4314.372093017874,2393.331398373435,6072.291231195986,4314.372093017874,4314.372093017874,-55.656514901967455,-55.656514901967455,-55.656514901967455,-55.656514901967455,-55.656514901967455,-55.656514901967455,0.0,0.0,0.0,4258.715578115907
782,2020-02-22,4316.001834172635,2461.7526998832204,5992.83886750038,4316.001834172635,4316.001834172635,-31.80820823499182,-31.80820823499182,-31.80820823499182,-31.80820823499182,-31.80820823499182,-31.80820823499182,0.0,0.0,0.0,4284.193625937643
783,2020-02-23,4317.6315753273975,2549.6477160980994,5998.903732043749,4317.6315753273975,4317.6315753273975,15.064707956193898,15.064707956193898,15.064707956193898,15.064707956193898,15.064707956193898,15.064707956193898,0.0,0.0,0.0,4332.696283283592
784,2020-02-24,4319.261316482158,2614.9404607127385,6259.768843302403,4319.261316482158,4319.261316482158,38.51930797399205,38.51930797399205,38.51930797399205,38.51930797399205,38.51930797399205,38.51930797399205,0.0,0.0,0.0,4357.78062445615
785,2020-02-25,4320.891057636918,2499.02551941617,6196.4939048932165,4320.891057636918,4320.891057636918,24.401553932277785,24.401553932277785,24.401553932277785,24.401553932277785,24.401553932277785,24.401553932277785,0.0,0.0,0.0,4345.292611569196
786,2020-02-26,4322.520798791679,2536.198074979329,6144.091177593151,4322.520798791679,4322.520798791679,14.887743446913003,14.887743446913003,14.887743446913003,14.887743446913003,14.887743446913003,14.887743446913003,0.0,0.0,0.0,4337.408542238592
787,2020-02-27,4324.150539946441,2557.929881653288,6149.09940546989,4324.150539946441,4324.150539946441,-5.4085901722547325,-5.4085901722547325,-5.4085901722547325,-5.4085901722547325,-5.4085901722547325,-5.4085901722547325,0.0,0.0,0.0,4318.741949774187
788,2020-02-28,4325.780281101202,2262.278152330949,5976.839771460714,4325.780281101202,4325.780281101202,-55.65651490198511,-55.65651490198511,-55.65651490198511,-55.65651490198511,-55.65651490198511,-55.65651490198511,0.0,0.0,0.0,4270.123766199216
789,2020-02-29,4327.410022255963,2578.657230012755,5972.554974422582,4327.410022255963,4327.410022255963,-31.80820823494748,-31.80820823494748,-31.80820823494748,-31.80820823494748,-31.80820823494748,-31.80820823494748,0.0,0.0,0.0,4295.601814021015
790,2020-03-01,4329.039763410724,2534.860690236788,6104.027714721057,4329.039763410724,4329.039763410724,15.064707956022943,15.064707956022943,15.064707956022943,15.064707956022943,15.064707956022943,15.064707956022943,0.0,0.0,0.0,4344.104471366747
791,2020-03-02,4330.669504565485,2632.7784953723026,6060.378906881938,4330.669504565485,4330.669504565485,38.519307973979274,38.519307973979274,38.519307973979274,38.519307973979274,38.519307973979274,38.519307973979274,0.0,0.0,0.0,4369.188812539464
792,2020-03-03,4332.299245720245,2597.496534327856,6089.300308225055,4332.299245720245,4332.299245720245,24.401553932242184,24.401553932242184,24.401553932242184,24.401553932242184,24.401553932242184,24.401553932242184,0.0,0.0,0.0,4356.700799652487
793,2020-03-04,4333.928986875007,2578.4546252343084,6138.144825519238,4333.928986875007,4333.928986875007,14.887743446938721,14.887743446938721,14.887743446938721,14.887743446938721,14.887743446938721,14.887743446938721,0.0,0.0,0.0,4348.816730321945
794,2020-03-05,4335.558728029768,2530.8471826505115,6048.268197580569,4335.558728029768,4335.558728029768,-5.4085901722629215,-5.4085901722629215,-5.4085901722629215,-5.4085901722629215,-5.4085901722629215,-5.4085901722629215,0.0,0.0,0.0,4330.150137857505
795,2020-03-06,4337.188548686324,2632.687247195264,5998.813765420136,4337.188548686324,4337.188548686324,-55.656514901998236,-55.656514901998236,-55.656514901998236,-55.656514901998236,-55.656514901998236,-55.656514901998236,0.0,0.0,0.0,4281.532033784326
796,2020-03-07,4338.81836934288,2459.482632139763,6173.187208892558,4338.81836934288,4338.81836934288,-31.808208234926493,-31.808208234926493,-31.808208234926493,-31.808208234926493,-31.808208234926493,-31.808208234926493,0.0,0.0,0.0,4307.0101611079535
797,2020-03-08,4340.448189999435,2574.5006436967387,6069.141473061881,4340.448189999435,4340.448189999435,15.064707956036758,15.064707956036758,15.064707956036758,15.064707956036758,15.064707956036758,15.064707956036758,0.0,0.0,0.0,4355.512897955472
798,2020-03-09,4342.0780106559905,2597.4850286202272,6181.713797238399,4342.0780106559905,4342.0780106559905,38.51930797399378,38.51930797399378,38.51930797399378,38.51930797399378,38.51930797399378,38.51930797399378,0.0,0.0,0.0,4380.597318629984
799,2020-03-10,4343.707831312547,2619.9820639198633,6161.0597951292075,4343.707831312547,4343.707831312547,24.40155393224295,24.40155393224295,24.40155393224295,24.40155393224295,24.40155393224295,24.40155393224295,0.0,0.0,0.0,4368.109385244789
800,2020-03-11,4345.337651969102,2495.882265606559,6047.8158378651315,4345.337651969102,4345.337651969102,14.88774344692434,14.88774344692434,14.88774344692434,14.88774344692434,14.88774344692434,14.88774344692434,0.0,0.0,0.0,4360.225395416026
801,2020-03-12,4346.967472625658,2588.1561745877348,6132.690157975581,4346.967472625658,4346.967472625658,-5.408590172310726,-5.408590172310726,-5.408590172310726,-5.408590172310726,-5.408590172310726,-5.408590172310726,0.0,0.0,0.0,4341.558882453347
802,2020-03-13,4348.597293282214,2427.0891153628518,5976.801743623471,4348.597293282214,4348.597293282214,-55.65651490202039,-55.65651490202039,-55.65651490202039,-55.65651490202039,-55.65651490202039,-55.65651490202039,0.0,0.0,0.0,4292.9407783801935
803,2020-03-14,4350.22711393877,2482.1108021848236,5998.744451365875,4350.22711393877,4350.22711393877,-31.808208234882155,-31.808208234882155,-31.808208234882155,-31.808208234882155,-31.808208234882155,-31.808208234882155,0.0,0.0,0.0,4318.418905703888
804,2020-03-15,4351.8569345953265,2659.2520381524864,6011.7794505277025,4351.8569345953265,4351.8569345953265,15.064707956076123,15.064707956076123,15.064707956076123,15.064707956076123,15.064707956076123,15.064707956076123,0.0,0.0,0.0,4366.921642551402
805,2020-03-16,4353.486755251882,2706.0744116792466,6126.830978688713,4353.486755251882,4353.486755251882,38.51930797398101,38.51930797398101,38.51930797398101,38.51930797398101,38.51930797398101,38.51930797398101,0.0,0.0,0.0,4392.006063225863
806,2020-03-17,4355.116575908438,2607.8317068490896,6208.7312567449735,4355.116575908438,4355.116575908438,24.40155393220734,24.40155393220734,24.40155393220734,24.40155393220734,24.40155393220734,24.40155393220734,0.0,0.0,0.0,4379.518129840645
807,2020-03-18,4356.746396564994,2631.3640320476557,6242.477072488885,4356.746396564994,4356.746396564994,14.887743446909962,14.887743446909962,14.887743446909962,14.887743446909962,14.887743446909962,14.887743446909962,0.0,0.0,0.0,4371.634140011904
808,2020-03-19,4358.376217221549,2628.8583921466475,6177.981154416175,4358.376217221549,4358.376217221549,-5.4085901723585295,-5.4085901723585295,-5.4085901723585295,-5.4085901723585295,-5.4085901723585295,-5.4085901723585295,0.0,0.0,0.0,4352.967627049191
809,2020-03-20,4360.0060378781045,2452.6522283099002,5953.826408979511,4360.0060378781045,4360.0060378781045,-55.65651490194201,-55.65651490194201,-55.65651490194201,-55.65651490194201,-55.65651490194201,-55.65651490194201,0.0,0.0,0.0,4304.349522976163
810,2020-03-21,4361.635858534661,2519.447330821773,6069.746869001039,4361.635858534661,4361.635858534661,-31.80820823484949,-31.80820823484949,-31.80820823484949,-31.80820823484949,-31.80820823484949,-31.80820823484949,0.0,0.0,0.0,4329.8276502998115
811,2020-03-22,4363.265679191217,2625.193528114296,6110.6022923967375,4363.265679191217,4363.265679191217,15.06470795611549,15.06470795611549,15.06470795611549,15.06470795611549,15.06470795611549,15.06470795611549,0.0,0.0,0.0,4378.330387147333
812,2020-03-23,4364.895499847772,2784.424317809102,6103.738682847648,4364.895499847772,4364.895499847772,38.519307974002594,38.519307974002594,38.519307974002594,38.519307974002594,38.519307974002594,38.519307974002594,0.0,0.0,0.0,4403.414807821775
813,2020-03-24,4366.525320504328,2664.5031108688713,6129.126258662655,4366.525320504328,4366.525320504328,24.40155393224448,24.40155393224448,24.40155393224448,24.40155393224448,24.40155393224448,24.40155393224448,0.0,0.0,0.0,4390.926874436573
814,2020-03-25,4368.155141160883,2650.1720938078083,6018.9195916280705,4368.155141160883,4368.155141160883,14.887743446966853,14.887743446966853,14.887743446966853,14.887743446966853,14.887743446966853,14.887743446966853,0.0,0.0,0.0,4383.04288460785
815,2020-03-26,4369.78496181744,2619.3357907456048,6022.627002532945,4369.78496181744,4369.78496181744,-5.408590172366718,-5.408590172366718,-5.408590172366718,-5.408590172366718,-5.408590172366718,-5.408590172366718,0.0,0.0,0.0,4364.376371645073
816,2020-03-27,4371.414782473996,2575.6057194383684,6057.7068906996565,4371.414782473996,4371.414782473996,-55.65651490195966,-55.65651490195966,-55.65651490195966,-55.65651490195966,-55.65651490195966,-55.65651490195966,0.0,0.0,0.0,4315.758267572036
817,2020-03-28,4373.044603130552,2451.803268473855,6061.14075658598,4373.044603130552,4373.044603130552,-31.808208234816828,-31.808208234816828,-31.808208234816828,-31.808208234816828,-31.808208234816828,-31.808208234816828,0.0,0.0,0.0,4341.236394895735
818,2020-03-29,4374.674423787107,2587.242063527338,6203.0411686942,4374.674423787107,4374.674423787107,15.064707956154855,15.064707956154855,15.064707956154855,15.064707956154855,15.064707956154855,15.064707956154855,0.0,0.0,0.0,4389.739131743262
819,2020-03-30,4376.304244443663,2642.3509755116224,6130.461711942419,4376.304244443663,4376.304244443663,38.51930797395544,38.51930797395544,38.51930797395544,38.51930797395544,38.51930797395544,38.51930797395544,0.0,0.0,0.0,4414.823552417619
820,2020-03-31,4377.934065100219,2579.334141938641,6056.280241904196,4377.934065100219,4377.934065100219,24.401553932250245,24.401553932250245,24.401553932250245,24.401553932250245,24.401553932250245,24.401553932250245,0.0,0.0,0.0,4402.335619032469
821,2020-04-01,4379.563885756774,2640.0561362155477,6261.035795884353,4379.563885756774,4379.563885756774,14.887743446952477,14.887743446952477,14.887743446952477,14.887743446952477,14.887743446952477,14.887743446952477,0.0,0.0,0.0,4394.451629203726
822,2020-04-02,4381.19370641333,2619.9516165782193,6294.5550641954,4381.19370641333,4381.19370641333,-5.408590172414521,-5.408590172414521,-5.408590172414521,-5.408590172414521,-5.408590172414521,-5.408590172414521,0.0,0.0,0.0,4375.785116240915
823,2020-04-03,4382.823527069886,2503.991380990144,6033.747355911838,4382.823527069886,4382.823527069886,-55.65651490197278,-55.65651490197278,-55.65651490197278,-55.65651490197278,-55.65651490197278,-55.65651490197278,0.0,0.0,0.0,4327.1670121679135
824,2020-04-04,4384.453347726442,2669.663072429889,6166.751990568625,4384.453347726442,4384.453347726442,-31.808208234978693,-31.808208234978693,-31.808208234978693,-31.808208234978693,-31.808208234978693,-31.808208234978693,0.0,0.0,0.0,4352.645139491464
825,2020-04-05,4386.083168382997,2545.1027682884023,6286.407670593913,4386.083168382997,4386.083168382997,15.064707955983899,15.064707955983899,15.064707955983899,15.064707955983899,15.064707955983899,15.064707955983899,0.0,0.0,0.0,4401.147876338981
826,2020-04-06,4387.712989039554,2663.8956993011793,6290.890944171473,4387.712989039554,4387.712989039554,38.519307973977035,38.519307973977035,38.519307973977035,38.519307973977035,38.519307973977035,38.519307973977035,0.0,0.0,0.0,4426.232297013531
827,2020-04-07,4389.34280969611,2709.731159458864,6385.65529379947,4389.34280969611,4389.34280969611,24.40155393225102,24.40155393225102,24.40155393225102,24.40155393225102,24.40155393225102,24.40155393225102,0.0,0.0,0.0,4413.744363628361
828,2020-04-08,4390.972630352666,2698.1212923359167,6198.71105699193,4390.972630352666,4390.972630352666,14.887743446938098,14.887743446938098,14.887743446938098,14.887743446938098,14.887743446938098,14.887743446938098,0.0,0.0,0.0,4405.860373799604
829,2020-04-09,4392.602450435112,2662.553445536546,6171.331795177775,4392.602450435112,4392.602450435112,-5.4085901724425165,-5.4085901724425165,-5.4085901724425165,-5.4085901724425165,-5.4085901724425165,-5.4085901724425165,0.0,0.0,0.0,4387.193860262669
830,2020-04-10,4394.2322705175575,2624.1707018793504,6092.768999581303,4394.2322705175575,4394.2322705175575,-55.65651490199494,-55.65651490199494,-55.65651490199494,-55.65651490199494,-55.65651490199494,-55.65651490199494,0.0,0.0,0.0,4338.575755615562
831,2020-04-11,4395.862090600003,2617.659502459317,6178.749538799957,4395.862090600003,4395.862090600003,-31.808208234934355,-31.808208234934355,-31.808208234934355,-31.808208234934355,-31.808208234934355,-31.808208234934355,0.0,0.0,0.0,4364.053882365069
832,2020-04-12,4397.491910682449,2610.1326685654353,6245.963904448774,4397.491910682449,4397.491910682449,15.064707956048817,15.064707956048817,15.064707956048817,15.064707956048817,15.064707956048817,15.064707956048817,0.0,0.0,0.0,4412.556618638498
833,2020-04-13,4399.121730764896,2797.679872897084,6152.272514364011,4399.121730764896,4399.121730764896,38.51930797399862,38.51930797399862,38.51930797399862,38.51930797399862,38.51930797399862,38.51930797399862,0.0,0.0,0.0,4437.641038738894
834,2020-04-14,4400.751550847342,2673.846350092762,6150.387635435419,4400.751550847342,4400.751550847342,24.401553932251787,24.401553932251787,24.401553932251787,24.401553932251787,24.401553932251787,24.401553932251787,0.0,0.0,0.0,4425.153104779593
835,2020-04-15,4402.381370929787,2540.0460321334285,6134.9595532404455,4402.381370929787,4402.381370929787,14.887743446923718,14.887743446923718,14.887743446923718,14.887743446923718,14.887743446923718,14.887743446923718,0.0,0.0,0.0,4417.2691143767115
