,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1258,2021-06-12,4314.111824059672,4913.15007876906,6982.09762797131,4308.393683899557,4319.210802279695,1648.9949145597495,1648.9949145597495,1648.9949145597495,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991351432,-33.50050991351432,-33.50050991351432,1205.4997051573337,1205.4997051573337,1205.4997051573337,0.0,0.0,0.0,5963.106738619421
1259,2021-06-13,4315.179756629256,5027.228542090801,7030.768597621008,4309.419008139337,4320.289709045937,1707.0007130812146,1707.0007130812146,1707.0007130812146,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363507438,13.971248363507438,13.971248363507438,1216.0337454017765,1216.0337454017765,1216.0337454017765,0.0,0.0,0.0,6022.180469710471
1260,2021-06-14,4316.247689198841,4979.426247868398,7176.737736861597,4310.447160936919,4321.404233328688,1746.402185978966,1746.402185978966,1746.402185978966,476.99571931593067,476.99571931593067,476.99571931593067,44.0214182658004,44.0214182658004,44.0214182658004,1225.3850483972353,1225.3850483972353,1225.3850483972353,0.0,0.0,0.0,6062.649875177807
1261,2021-06-15,4317.315621768425,5028.466043138777,7089.436148235578,4311.432921561834,4322.538975822604,1740.5825004375972,1740.5825004375972,1740.5825004375972,476.99571931593067,476.99571931593067,476.99571931593067,30.398507172824296,30.398507172824296,30.398507172824296,1233.1882739488424,1233.1882739488424,1233.1882739488424,0.0,0.0,0.0,6057.898122206023
1262,2021-06-16,4318.383554338009,5088.562189721267,7119.562518009871,4312.479837156277,4323.676353890799,1727.525544874423,1727.525544874423,1727.525544874423,476.99571931593067,476.99571931593067,476.99571931593067,11.37352589249438,11.37352589249438,11.37352589249438,1239.156299665998,1239.156299665998,1239.156299665998,0.0,0.0,0.0,6045.909099212432
1263,2021-06-17,4319.451486907594,5021.948778465382,7074.136736529023,4313.532912703347,4324.815366214856,1711.7701232628015,1711.7701232628015,1711.7701232628015,476.99571931593067,476.99571931593067,476.99571931593067,-8.312599275978151,-8.312599275978151,-8.312599275978151,1243.087003222849,1243.087003222849,1243.087003222849,0.0,0.0,0.0,6031.221610170395
1264,2021-06-18,4320.519419477177,4922.002817418505,7081.806449478564,4314.567839613632,4325.958725489518,1663.9111588270969,1663.9111588270969,1663.9111588270969,476.99571931593067,476.99571931593067,476.99571931593067,-57.95159050507292,-57.95159050507292,-57.95159050507292,1244.8670300162394,1244.8670300162394,1244.8670300162394,0.0,0.0,0.0,5984.430578304274
1265,2021-06-19,4321.587352046761,4993.458350824354,7028.17205119187,4315.595666132332,4327.092264689255,1687.9677265384398,1687.9677265384398,1687.9677265384398,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991346605,-33.50050991346605,-33.50050991346605,1244.4725171359755,1244.4725171359755,1244.4725171359755,0.0,0.0,0.0,6009.555078585201
1266,2021-06-20,4322.655284616346,4952.377467210137,7042.406853466474,4316.613679748296,4328.1872126238295,1732.933804517787,1732.933804517787,1732.933804517787,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363518901,13.971248363518901,13.971248363518901,1241.9668368383375,1241.9668368383375,1241.9668368383375,0.0,0.0,0.0,6055.589089134133
1267,2021-06-21,4323.7232171859305,4987.919570097435,7125.456396576786,4317.605994312443,4329.297566908496,1758.5126490025934,1758.5126490025934,1758.5126490025934,476.99571931593067,476.99571931593067,476.99571931593067,44.02141826578953,44.02141826578953,44.02141826578953,1237.4955114208733,1237.4955114208733,1237.4955114208733,0.0,0.0,0.0,6082.235866188524
1268,2021-06-22,4324.791149755514,5071.194896037841,7075.036928847113,4318.645974857503,4330.391885909217,1738.6727604839496,1738.6727604839496,1738.6727604839496,476.99571931593067,476.99571931593067,476.99571931593067,30.398507172845648,30.398507172845648,30.398507172845648,1231.2785339951733,1231.2785339951733,1231.2785339951733,0.0,0.0,0.0,6063.463910239464
1269,2021-06-23,4325.859082325099,4961.78206340731,7042.033434424898,4319.6348814139155,4331.452123085542,1711.9696489890453,1711.9696489890453,1711.9696489890453,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892439995,11.373525892439995,11.373525892439995,1223.6004037806747,1223.6004037806747,1223.6004037806747,0.0,0.0,0.0,6037.8287313141445
1270,2021-06-24,4326.927014894683,4960.812230038104,6998.411797501203,4320.659256352377,4332.5206581523535,1683.4813681685985,1683.4813681685985,1683.4813681685985,476.99571931593067,476.99571931593067,476.99571931593067,-8.312599276004319,-8.312599276004319,-8.312599276004319,1214.7982481286722,1214.7982481286722,1214.7982481286722,0.0,0.0,0.0,6010.408383063282
1271,2021-06-25,4327.994947464267,4902.793712508193,7041.806114848308,4321.691072020335,4333.6327772395725,1624.2925836099,1624.2925836099,1624.2925836099,476.99571931593067,476.99571931593067,476.99571931593067,-57.95159050508892,-57.95159050508892,-57.95159050508892,1205.2484547990584,1205.2484547990584,1205.2484547990584,0.0,0.0,0.0,5952.287531074167
1272,2021-06-26,4329.062880033852,4953.006941685726,7011.500369358122,4322.718146007023,4334.737823588762,1638.8474850821408,1638.8474850821408,1638.8474850821408,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991343615,-33.50050991343615,-33.50050991343615,1195.3522756796465,1195.3522756796465,1195.3522756796465,0.0,0.0,0.0,5967.910365115993
1273,2021-06-27,4330.130812603436,4924.686003472987,7083.6016618389685,4323.742583501546,4335.892243757908,1676.4878539240829,1676.4878539240829,1676.4878539240829,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363597926,13.971248363597926,13.971248363597926,1185.5208862445543,1185.5208862445543,1185.5208862445543,0.0,0.0,0.0,6006.618666527519
1274,2021-06-28,4331.198745173021,4962.808805388317,7088.189917971612,4324.731734741275,4336.999634677034,1697.1775306618279,1697.1775306618279,1697.1775306618279,476.99571931593067,476.99571931593067,476.99571931593067,44.02141826582778,44.02141826582778,44.02141826582778,1176.1603930800693,1176.1603930800693,1176.1603930800693,0.0,0.0,0.0,6028.376275834849
1275,2021-06-29,4332.266677742604,4975.404974687701,7037.756817270368,4325.7555138133,4338.09850171756,1675.051501229226,1675.051501229226,1675.051501229226,476.99571931593067,476.99571931593067,476.99571931593067,30.3985071728861,30.3985071728861,30.3985071728861,1167.6572747404093,1167.6572747404093,1167.6572747404093,0.0,0.0,0.0,6007.31817897183
1276,2021-06-30,4333.3346103121885,4971.296229569511,6995.533556058616,4326.760474358214,4339.186886132797,1648.7339646312803,1648.7339646312803,1648.7339646312803,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892454833,11.373525892454833,11.373525892454833,1160.364719422895,1160.364719422895,1160.364719422895,0.0,0.0,0.0,5982.068574943469
1277,2021-07-01,4334.402542881773,4933.505065946572,6980.428830398053,4327.7639737173495,4340.2752705480325,1623.2734073732045,1623.2734073732045,1623.2734073732045,476.99571931593067,476.99571931593067,476.99571931593067,-8.31259927603049,-8.31259927603049,-8.31259927603049,1154.5902873333046,1154.5902873333046,1154.5902873333046,0.0,0.0,0.0,5957.675950254978
