,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
408,2019-02-13,3886.0767208092343,2153.8294308888344,4220.649881941298,3886.0767208092343,3886.0767208092343,-745.9942168605355,-745.9942168605355,-745.9942168605355,11.395845239851202,11.395845239851202,11.395845239851202,-757.3900621003868,-757.3900621003868,-757.3900621003868,0.0,0.0,0.0,3140.082503948699
409,2019-02-14,3887.1376671252356,2106.1559671147434,4142.006263285437,3887.1376671252356,3887.1376671252356,-760.9335070925274,-760.9335070925274,-760.9335070925274,-8.307616351768225,-8.307616351768225,-8.307616351768225,-752.6258907407591,-752.6258907407591,-752.6258907407591,0.0,0.0,0.0,3126.2041600327084
410,2019-02-15,3888.198613441237,2025.9890764903141,4189.352684355007,3888.198613441237,3888.198613441237,-807.1678281227602,-807.1678281227602,-807.1678281227602,-57.94486185367923,-57.94486185367923,-57.94486185367923,-749.222966269081,-749.222966269081,-749.222966269081,0.0,0.0,0.0,3081.030785318477
411,2019-02-16,3889.2595597572376,2140.2879297588547,4120.907904623552,3889.2595597572376,3889.2595597572376,-781.0524276206191,-781.0524276206191,-781.0524276206191,-33.528732449025796,-33.528732449025796,-33.528732449025796,-747.5236951715934,-747.5236951715934,-747.5236951715934,0.0,0.0,0.0,3108.2071321366184
412,2019-02-17,3890.320506073239,2174.787005425964,4233.187994545408,3890.320506073239,3890.320506073239,-733.9378151514377,-733.9378151514377,-733.9378151514377,13.899320576682328,13.899320576682328,13.899320576682328,-747.83713572812,-747.83713572812,-747.83713572812,0.0,0.0,0.0,3156.3826909218014
413,2019-02-18,3891.3814523892406,2148.2361655021887,4234.629159295298,3891.3814523892406,3891.3814523892406,-706.3643725909939,-706.3643725909939,-706.3643725909939,44.062655367084155,44.062655367084155,44.062655367084155,-750.427027958078,-750.427027958078,-750.427027958078,0.0,0.0,0.0,3185.017079798247
414,2019-02-19,3892.442398705242,2099.7765967231066,4175.169204969671,3892.442398705242,3892.442398705242,-725.0776063274258,-725.0776063274258,-725.0776063274258,30.42338947074279,30.42338947074279,30.42338947074279,-755.5009957981687,-755.5009957981687,-755.5009957981687,0.0,0.0,0.0,3167.3647923778162
415,2019-02-20,3893.503387428586,2128.3559135961004,4151.354587733622,3893.503387428586,3893.503387428586,-751.80545325347,-751.80545325347,-751.80545325347,11.395845239866105,11.395845239866105,11.395845239866105,-763.2012984933361,-763.2012984933361,-763.2012984933361,0.0,0.0,0.0,3141.6979341751157
416,2019-02-21,3894.564376151929,2083.668247314139,4028.6938230842306,3894.564376151929,3894.564376151929,-781.9050828165039,-781.9050828165039,-781.9050828165039,-8.307616351794342,-8.307616351794342,-8.307616351794342,-773.5974664647097,-773.5974664647097,-773.5974664647097,0.0,0.0,0.0,3112.659293335425
417,2019-02-22,3895.625364875273,1973.028682498713,4131.028945508161,3895.625364875273,3895.625364875273,-844.6259658441364,-844.6259658441364,-844.6259658441364,-57.94486185365162,-57.94486185365162,-57.94486185365162,-786.6811039904849,-786.6811039904849,-786.6811039904849,0.0,0.0,0.0,3050.999399031137
418,2019-02-23,3896.6863535986163,1982.8954210851641,4061.9833559932154,3896.6863535986163,3896.6863535986163,-835.8918107786566,-835.8918107786566,-835.8918107786566,-33.52873244897766,-33.52873244897766,-33.52873244897766,-802.363078329679,-802.363078329679,-802.363078329679,0.0,0.0,0.0,3060.7945428199596
419,2019-02-24,3897.7473423219603,2114.1033974812453,4161.850434069031,3897.7473423219603,3897.7473423219603,-806.5739236759737,-806.5739236759737,-806.5739236759737,13.899320576693885,13.899320576693885,13.899320576693885,-820.4732442526677,-820.4732442526677,-820.4732442526677,0.0,0.0,0.0,3091.1734186459867
420,2019-02-25,3898.8083310453044,2121.9634431981963,4200.38712225421,3898.8083310453044,3898.8083310453044,-796.7001209676189,-796.7001209676189,-796.7001209676189,44.062655367073326,44.062655367073326,44.062655367073326,-840.7627763346921,-840.7627763346921,-840.7627763346921,0.0,0.0,0.0,3102.1082100776857
421,2019-02-26,3899.8693197686475,2073.1533352889155,4125.669383880798,3899.8693197686475,3899.8693197686475,-832.4857116317581,-832.4857116317581,-832.4857116317581,30.423389470697607,30.423389470697607,30.423389470697607,-862.9091011024558,-862.9091011024558,-862.9091011024558,0.0,0.0,0.0,3067.3836081368895
422,2019-02-27,3900.9303084919916,2003.7652085125155,4073.8161713091536,3900.9303084919916,3900.9303084919916,-875.1274943421155,-875.1274943421155,-875.1274943421155,11.395845239879106,11.395845239879106,11.395845239879106,-886.5233395819946,-886.5233395819946,-886.5233395819946,0.0,0.0,0.0,3025.802814149876
423,2019-02-28,3901.9912972153356,1931.1377051843751,3999.965156227529,3901.9912972153356,3901.9912972153356,-919.4677068053325,-919.4677068053325,-919.4677068053325,-8.307616351736167,-8.307616351736167,-8.307616351736167,-911.1600904535962,-911.1600904535962,-911.1600904535962,0.0,0.0,0.0,2982.523590410003
424,2019-03-01,3903.052285938679,1767.9442878270333,3923.5651874393,3903.052285938679,3903.052285938679,-994.2741692052562,-994.2741692052562,-994.2741692052562,-57.944861853666836,-57.944861853666836,-57.944861853666836,-936.3293073515894,-936.3293073515894,-936.3293073515894,0.0,0.0,0.0,2908.7781167334224
425,2019-03-02,3904.113274662023,1855.4207033363552,3920.221474144444,3904.113274662023,3904.113274662023,-995.0386856811833,-995.0386856811833,-995.0386856811833,-33.52873244896602,-33.52873244896602,-33.52873244896602,-961.5099532322172,-961.5099532322172,-961.5099532322172,0.0,0.0,0.0,2909.0745889808395
426,2019-03-03,3905.1742633853664,1868.7680540823794,3935.1016386146257,3905.1742633853664,3905.1742633853664,-972.2657318470957,-972.2657318470957,-972.2657318470957,13.89932057670544,13.89932057670544,13.89932057670544,-986.1650524238012,-986.1650524238012,-986.1650524238012,0.0,0.0,0.0,2932.908531538271
427,2019-03-04,3906.23525210871,1862.4456954356856,3974.4199930943487,3906.23525210871,3906.23525210871,-965.6950536205242,-965.6950536205242,-965.6950536205242,44.0626553670625,44.0626553670625,44.0626553670625,-1009.7577089875865,-1009.7577089875865,-1009.7577089875865,0.0,0.0,0.0,2940.540198488186
428,2019-03-05,3907.296240832054,1859.022949304311,4000.1566098633543,3907.296240832054,3907.296240832054,-1001.3442306295142,-1001.3442306295142,-1001.3442306295142,30.42338947076183,30.42338947076183,30.42338947076183,-1031.767620100276,-1031.767620100276,-1031.767620100276,0.0,0.0,0.0,2905.95201020254
429,2019-03-06,3908.357229555397,1822.8695445084038,3876.166975954574,3908.357229555397,3908.357229555397,-1040.311741484242,-1040.311741484242,-1040.311741484242,11.395845239859273,11.395845239859273,11.395845239859273,-1051.7075867241015,-1051.7075867241015,-1051.7075867241015,0.0,0.0,0.0,2868.045488071155
